Altium Designer Pick and Place Locations
C:\Applications\hardware\pca10112\trunk\production_files\400484_pick_and_place.csv

========================================================================================================================
File Design Information:

Date:       07-07-22
Time:       15:38
Revision:   24930
Variant:    Default Variant
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C82","10µF","TopLayer","CAPC1608X06L","15.9242","28.0212","270","Capacitor, Ceramic, X5R, ±20%, 25V"
"U12","XC9148","TopLayer","USP-6C","14.0492","28.6962","270","1.4A Driver Transistor Built-In, Multi Functional Step-Up DC/DC Converter"
"R6","33k","TopLayer","RESC0603X03L_C","129.8500","41.2850","270","Resistor, ±1%, 0.05W"
"U2","nRF5340-QKAA","TopLayer","AQFN40P700X700X85_HS-99N","37.7388","30.0268","0","Multi-protocol Bluetooth Low Energy, IEEE 802.15.4, ANT and 2.4GHz proprietary system-on-chip"
"TP51","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","61.0870","44.6560","180","1.5mm circular SMD testpad"
"TP50","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","58.0870","38.6560","180","1.5mm circular SMD testpad"
"TP49","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","61.0870","41.6560","180","1.5mm circular SMD testpad"
"TP52","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","61.0870","38.6560","180","1.5mm circular SMD testpad"
"R9","49.9R","TopLayer","RESC0603X03L_C","42.5888","31.0174","0","Resistor, ±1%, 0.05W"
"X3","32MHz","TopLayer","BT-XTAL_2016","42.3250","37.2000","270","XTAL SMD 2016, 32MHz, Cl=8pF, Tol: ±10ppm, Stab: ±15ppm"
"C31","100nF","TopLayer","CAPC0603X03L_C","39.1500","25.1518","270","Capacitor, X5R, ±10%"
"C32","100nF","TopLayer","CAPC0603X03L_C","42.5888","30.3518","0","Capacitor, X5R, ±10%"
"C33","100nF","TopLayer","CAPC0603X03L_C","42.5888","32.4906","0","Capacitor, X5R, ±10%"
"C34","100nF","TopLayer","CAPC0603X03L_C","42.3888","34.1431","0","Capacitor, X5R, ±10%"
"C24","100nF","TopLayer","CAPC0603X03L_C","33.4388","32.2768","270","Capacitor, X5R, ±10%"
"C25","100nF","TopLayer","CAPC0603X03L_C","33.1638","29.9018","180","Capacitor, X5R, ±10%"
"C26","100nF","TopLayer","CAPC0603X03L_C","33.4000","27.2250","270","Capacitor, X5R, ±10%"
"C27","100nF","TopLayer","CAPC0603X03L_C","36.8619","25.1518","270","Capacitor, X5R, ±10%"
"C35","1.0µF","TopLayer","CAPC1005X04L","34.8888","35.8518","270","Capacitor, X5R, ±5%, 6.3V"
"C36","1.0µF","TopLayer","CAPC1005X04L","36.9888","35.8318","0","Capacitor, X5R, ±5%, 6.3V"
"C37","4.7µF","TopLayer","CAPC1608X06L","32.3138","36.0818","90","Capacitor, X7S, ±10%, 10V"
"R13","2R2","TopLayer","RESC0603X03L_C","31.2628","35.5260","270","Resistor, ±1%, 0.05W"
"Q3","RV2C010UNT2L","TopLayer","DFN65P100X40-3L","42.5344","28.4105","90","N-Channel MOSFET, 20V, 1A, 470mOhm, 400mW"
"C38","4.7µF","TopLayer","CAPC1608X06L","33.4388","36.0818","90","Capacitor, X7R, ±10%, 6.3V"
"C29","1.0µF","TopLayer","CAPC1005X04L","41.2638","35.0518","0","Capacitor, X5R, ±5%, 6.3V"
"C39","100nF","TopLayer","CAPC0603X03L_C","39.2578","34.3268","0","Capacitor, X5R, ±10%"
"C30","2.2nF","TopLayer","CAPC0603X03L_C","42.5888","31.6524","0","Capacitor, X7R, ±10%, 10V"
"C40","1.0µF","TopLayer","CAPC1005X04L","36.6388","34.9568","0","Capacitor, X5R, ±5%, 6.3V"
"C28","1.0µF","TopLayer","CAPC1005X04L","39.2888","35.0518","0","Capacitor, X5R, ±5%, 6.3V"
"R20","1M0","TopLayer","RESC0603X03L_C","42.5600","27.3754","0","Resistor, ±1%, 0.05W"
"R19","150R","TopLayer","RESC0603X03L_C","42.5600","24.7477","0","Resistor, ±1%, 0.05W"
"R18","150R","TopLayer","RESC0603X03L_C","42.5600","25.3489","0","Resistor, ±1%, 0.05W"
"R17","150R","TopLayer","RESC0603X03L_C","42.5600","25.9500","0","Resistor, ±1%, 0.05W"
"R16","150R","TopLayer","RESC0603X03L_C","42.5600","26.5511","0","Resistor, ±1%, 0.05W"
